"category","pathway_count","total_abundance","avg_abundance","avg_prevalence"
"Biosynthesis",201,1851672.37870463,9212.30039156534,100.89552238806
"Other Metabolic Pathways",54,329561.912440846,6102.99837853418,91.8518518518518
"Degradation",147,323103.121073016,2197.9804154627,76.8707482993198
"Energy Metabolism",20,228014.442213279,11400.7221106639,103.25
"Salvage Pathways",15,139448.796393051,9296.58642620342,113
"Fermentation",20,114394.677996517,5719.73389982586,91.5
"One-Carbon Metabolism",3,30479.6574429092,10159.8858143031,83.3333333333333
"Sulfur Metabolism",5,26392.7668017163,5278.55336034327,99
"Nitrogen Metabolism",4,4033.83266588089,1008.45816647022,81.25
"Aromatic Compound Metabolism",1,634.576095643893,634.576095643893,115
"Respiration",1,412.221174224132,412.221174224132,75
